File,Line,Alloc Count
d:\dev\chron\libutils\vector_impl.h,24,94
d:\dev\chron\libutils\vector_impl.h,49,13
d:\dev\chron\libutils\vector_impl.h,56,5
d:\dev\chron\libutils\hashtable_create.h,232,4
d:\dev\chron\libutils\hashtable_create.h,34,2
d:\dev\chron\libchron\renderer.c,80,2
d:\dev\chron\libchron\renderer.c,403,1
d:\dev\chron\libchron\renderer.c,57,1
d:\dev\chron\libchron\devicecontext.c,28,1
d:\dev\chron\libchron\renderer.c,531,1
d:\dev\chron\libchron\renderer.c,673,1
d:\dev\chron\libchron\logspud.c,20,1
d:\dev\chron\libchron\game.c,13,1
d:\dev\chron\libchron\gui.c,108,1
d:\dev\chron\libchron\renderer.c,777,1
d:\dev\chron\libchron\renderer.c,668,1
d:\dev\chron\libutils\hashtable_create.h,215,1
d:\dev\chron\libchron\renderer.c,589,1
d:\dev\chron\libchron\app.c,100,1
d:\dev\chron\libchron\gui.c,54,1
